# Data from Open Admin Data (https://openadmindata.org/ne/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/niger-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.department,children_count.commune,zip_codes,geo.lat,geo.lon,source_url
NE001,1,Région,Region,Agadez,Agadez,agadez-ne001,NE001,,,,,,6,15,,19.427,10.707,https://openadmindata.org/ne/regions/agadez-ne001/
NE001001,2,Département,Department,Aderbissinat,Aderbissinat,aderbissinat-ne001001,NE001001,,NE001,Agadez,Agadez,,,1,,16.464,8.703,
NE001002,2,Département,Department,Arlit,Arlit,arlit-ne001002,NE001002,,NE001,Agadez,Agadez,,,3,,19.534,6.963,
NE001003,2,Département,Department,Bilma,Bilma,bilma-ne001003,NE001003,,NE001,Agadez,Agadez,,,4,,20.299,13.487,
NE001004,2,Département,Department,Iferouane,Iferouane,iferouane-ne001004,NE001004,,NE001,Agadez,Agadez,,,2,,20.519,9.486,
NE001005,2,Département,Department,Ingall,Ingall,ingall-ne001005,NE001005,,NE001,Agadez,Agadez,,,1,,17.431,6.421,
NE001006,2,Département,Department,Tchirozerine,Tchirozerine,tchirozerine-ne001006,NE001006,,NE001,Agadez,Agadez,,,4,,17.377,8.549,
NE002,1,Région,Region,Diffa,Diffa,diffa-ne002,NE002,,,,,,6,12,,15.538,13.161,https://openadmindata.org/ne/regions/diffa-ne002/
NE002001,2,Département,Department,Bosso,Bosso,bosso-ne002001,NE002001,,NE002,Diffa,Diffa,,,2,,13.709,13.203,
NE002002,2,Département,Department,Diffa,Diffa,diffa-ne002002,NE002002,,NE002,Diffa,Diffa,,,3,,13.478,12.509,
NE002003,2,Département,Department,Goudoumaria,Goudoumaria,goudoumaria-ne002003,NE002003,,NE002,Diffa,Diffa,,,1,,13.844,11.256,
NE002004,2,Département,Department,Maïné Soroa,Maïné Soroa,man-soroa-ne002004,NE002004,,NE002,Diffa,Diffa,,,3,,13.756,12.071,
NE002005,2,Département,Department,N'Gourti,N'Gourti,ngourti-ne002005,NE002005,,NE002,Diffa,Diffa,,,1,,16.207,13.463,
NE002006,2,Département,Department,N'Guigmi,N'Guigmi,nguigmi-ne002006,NE002006,,NE002,Diffa,Diffa,,,2,,14.165,12.785,
NE003,1,Région,Region,Dosso,Dosso,dosso-ne003,NE003,,,,,,8,43,,13.167,3.299,https://openadmindata.org/ne/regions/dosso-ne003/
NE003001,2,Département,Department,Boboye,Boboye,boboye-ne003001,NE003001,,NE003,Dosso,Dosso,,,8,,13.167,2.723,
NE003002,2,Département,Department,Dioundiou,Dioundiou,dioundiou-ne003002,NE003002,,NE003,Dosso,Dosso,,,3,,12.659,3.666,
NE003003,2,Département,Department,Dogondoutchi,Dogondoutchi,dogondoutchi-ne003003,NE003003,,NE003,Dosso,Dosso,,,6,,13.973,4.091,
NE003004,2,Département,Department,Dosso,Dosso,dosso-ne003004,NE003004,,NE003,Dosso,Dosso,,,11,,12.841,3.255,
