id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
NE006001,Abala,Abala,abala-ne006001,NE006001,2,14.997,3.562
NE006002,Ayerou,Ayerou,ayerou-ne006002,NE006002,2,14.953,1.064
NE006003,Balleyara,Balleyara,balleyara-ne006003,NE006003,1,13.704,2.891
NE006004,Banibangou,Banibangou,banibangou-ne006004,NE006004,1,15.035,2.457
NE006005,Bankilaré,Bankilaré,bankilar-ne006005,NE006005,1,14.444,0.632
NE006006,Filingué,Filingué,filingu-ne006006,NE006006,4,14.313,3.321
NE006007,Gothèye,Gothèye,gothye-ne006007,NE006007,2,13.799,1.454
NE006008,Kollo,Kollo,kollo-ne006008,NE006008,11,13.19,2.212
NE006009,Ouallam,Ouallam,ouallam-ne006009,NE006009,4,14.583,2.195
NE006010,Say,Say,say-ne006010,NE006010,3,12.597,2.364
NE006011,Téra,Téra,tra-ne006011,NE006011,5,14.311,0.896
NE006012,Tillabéri,Tillabéri,tillabri-ne006012,NE006012,7,14.386,1.414
NE006013,Torodi,Torodi,torodi-ne006013,NE006013,2,13.149,1.472
