id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
NE007001,Belbedji,Belbedji,belbedji-ne007001,NE007001,1,14.984,7.812
NE007002,Damagaram Takaya,Damagaram Takaya,damagaram-takaya-ne007002,NE007002,6,14.05,9.507
NE007003,Dungass,Dungass,dungass-ne007003,NE007003,4,13.207,9.593
NE007004,Gouré,Gouré,gour-ne007004,NE007004,6,14.05,10.493
NE007005,Kantché,Kantché,kantch-ne007005,NE007005,9,13.414,8.565
NE007006,Magaria,Magaria,magaria-ne007006,NE007006,7,13.059,8.819
NE007007,Mirriah,Mirriah,mirriah-ne007007,NE007007,8,13.629,9.29
NE007008,Takeita,Takeita,takeita-ne007008,NE007008,3,13.937,8.866
NE007009,Tanout,Tanout,tanout-ne007009,NE007009,5,15.122,9.008
NE007010,Tesker,Tesker,tesker-ne007010,NE007010,1,15.908,10.815
NE007011,Ville de Zinder,Ville de Zinder,ville-de-zinder-ne007011,NE007011,5,13.736,9.009
