id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
NE005001,Abalak,Abalak,abalak-ne005001,NE005001,5,15.463,6.249
NE005002,Bagaroua,Bagaroua,bagaroua-ne005002,NE005002,1,14.37,4.663
NE005003,Birni N'Konni,Birni N'Konni,birni-nkonni-ne005003,NE005003,4,13.92,5.038
NE005004,Bouza,Bouza,bouza-ne005004,NE005004,7,14.499,6.085
NE005005,Illéla,Illéla,illla-ne005005,NE005005,3,14.277,5.269
NE005006,Keita,Keita,keita-ne005006,NE005006,4,14.771,5.919
NE005007,Madaoua,Madaoua,madaoua-ne005007,NE005007,6,14.001,6.078
NE005008,Malbaza,Malbaza,malbaza-ne005008,NE005008,2,14.03,5.5
NE005009,Tahoua,Tahoua,tahoua-ne005009,NE005009,6,14.977,4.618
NE005010,Tassara,Tassara,tassara-ne005010,NE005010,1,17.485,4.73
NE005011,Tchintabaraden,Tchintabaraden,tchintabaraden-ne005011,NE005011,2,15.959,5.644
NE005012,Tillia,Tillia,tillia-ne005012,NE005012,1,15.899,4.616
NE005013,Ville de Tahoua,Ville de Tahoua,ville-de-tahoua-ne005013,NE005013,2,14.882,5.234
